PAIR,RAW_SRC,ABS_D,REL_D,SIM
enfi,57.0,7.7,12.7,0.4360903410256243
enru,64.6,7.4,10.8,0.6115518727155044
encs,60.6,6.6,10.3,0.46244754746607586
enet,60.8,4.1,6.5,0.5355267787895387
entr,62.2,4.1,6.4,0.19756942534896915
eten,69.3,4.0,5.6,0.5355267787895387
enzh,76.7,4.0,5.1,0.47474157544924134
deen,76.1,3.8,4.9,0.7527473644256745
tren,71.1,3.2,4.4,0.19756942534896915
fien,72.8,2.4,3.2,0.4360903410256243
csen,70.2,1.6,2.3,0.46244754746607586
ende,83.6,1.9,2.2,0.7527473644256745
zhen,77.5,1.3,1.7,0.47474157544924134
ruen,80.9,0.1,0.1,0.6115518727155044
